Province/State,Country/Region,Lat,Long,Date,Case,Count
Anhui,Mainland China,31.82571,117.2264,2020-02-18,recovered,361
Anhui,Mainland China,31.82571,117.2264,2020-02-18,death,6
Anhui,Mainland China,31.82571,117.2264,2020-02-19,confirmed,986
Anhui,Mainland China,31.82571,117.2264,2020-02-19,recovered,413
Anhui,Mainland China,31.82571,117.2264,2020-02-19,death,6
Anhui,Mainland China,31.82571,117.2264,2020-02-20,confirmed,987
Anhui,Mainland China,31.82571,117.2264,2020-02-20,recovered,474
Anhui,Mainland China,31.82571,117.2264,2020-02-20,death,6
Anhui,Mainland China,31.82571,117.2264,2020-02-21,confirmed,988
Anhui,Mainland China,31.82571,117.2264,2020-02-21,recovered,539
Anhui,Mainland China,31.82571,117.2264,2020-02-21,death,6
Anhui,Mainland China,31.82571,117.2264,2020-02-22,confirmed,989
Anhui,Mainland China,31.82571,117.2264,2020-02-22,recovered,597
Anhui,Mainland China,31.82571,117.2264,2020-02-22,death,6
Anhui,Mainland China,31.82571,117.2264,2020-02-23,confirmed,989
Anhui,Mainland China,31.82571,117.2264,2020-02-23,recovered,637
Anhui,Mainland China,31.82571,117.2264,2020-02-23,death,6
Anhui,Mainland China,31.82571,117.2264,2020-02-24,confirmed,989
Anhui,Mainland China,31.82571,117.2264,2020-02-24,recovered,663
Anhui,Mainland China,31.82571,117.2264,2020-02-24,death,6
Anhui,Mainland China,31.82571,117.2264,2020-02-25,confirmed,989
Anhui,Mainland China,31.82571,117.2264,2020-02-25,recovered,712
Anhui,Mainland China,31.82571,117.2264,2020-02-25,death,6
Anhui,Mainland China,31.82571,117.2264,2020-02-26,confirmed,989
Anhui,Mainland China,31.82571,117.2264,2020-02-26,recovered,744
Anhui,Mainland China,31.82571,117.2264,2020-02-26,death,6
Beijing,Mainland China,40.18238,116.4142,2020-01-22,confirmed,14
Beijing,Mainland China,40.18238,116.4142,2020-01-22,recovered,0
Beijing,Mainland China,40.18238,116.4142,2020-01-22,death,0
Beijing,Mainland China,40.18238,116.4142,2020-01-23,confirmed,22
Beijing,Mainland China,40.18238,116.4142,2020-01-23,recovered,0
Beijing,Mainland China,40.18238,116.4142,2020-01-23,death,0
Beijing,Mainland China,40.18238,116.4142,2020-01-24,confirmed,36
Beijing,Mainland China,40.18238,116.4142,2020-01-24,recovered,1
Beijing,Mainland China,40.18238,116.4142,2020-01-24,death,0
Beijing,Mainland China,40.18238,116.4142,2020-01-25,confirmed,41
Beijing,Mainland China,40.18238,116.4142,2020-01-25,recovered,2
Beijing,Mainland China,40.18238,116.4142,2020-01-25,death,0
Beijing,Mainland China,40.18238,116.4142,2020-01-26,confirmed,68
Beijing,Mainland China,40.18238,116.4142,2020-01-26,recovered,2
Beijing,Mainland China,40.18238,116.4142,2020-01-26,death,0
Beijing,Mainland China,40.18238,116.4142,2020-01-27,confirmed,80
Beijing,Mainland China,40.18238,116.4142,2020-01-27,recovered,2
Beijing,Mainland China,40.18238,116.4142,2020-01-27,death,1
Beijing,Mainland China,40.18238,116.4142,2020-01-28,confirmed,91
Beijing,Mainland China,40.18238,116.4142,2020-01-28,recovered,4
Beijing,Mainland China,40.18238,116.4142,2020-01-28,death,1
Beijing,Mainland China,40.18238,116.4142,2020-01-29,confirmed,111
Beijing,Mainland China,40.18238,116.4142,2020-01-29,recovered,4
Beijing,Mainland China,40.18238,116.4142,2020-01-29,death,1
Beijing,Mainland China,40.18238,116.4142,2020-01-30,confirmed,114
Beijing,Mainland China,40.18238,116.4142,2020-01-30,recovered,4
Beijing,Mainland China,40.18238,116.4142,2020-01-30,death,1
Beijing,Mainland China,40.18238,116.4142,2020-01-31,confirmed,139
Beijing,Mainland China,40.18238,116.4142,2020-01-31,recovered,5
Beijing,Mainland China,40.18238,116.4142,2020-01-31,death,1
Beijing,Mainland China,40.18238,116.4142,2020-02-01,confirmed,168
Beijing,Mainland China,40.18238,116.4142,2020-02-01,recovered,9
Beijing,Mainland China,40.18238,116.4142,2020-02-01,death,1
Beijing,Mainland China,40.18238,116.4142,2020-02-02,confirmed,191
Beijing,Mainland China,40.18238,116.4142,2020-02-02,recovered,9
Beijing,Mainland China,40.18238,116.4142,2020-02-02,death,1
Beijing,Mainland China,40.18238,116.4142,2020-02-03,confirmed,212
Beijing,Mainland China,40.18238,116.4142,2020-02-03,recovered,12
Beijing,Mainland China,40.18238,116.4142,2020-02-03,death,1
